Lasse Blaauwbroek, David M. Cerna, Thibault Gauthier, Jan Jakubuv, Cezary Kaliszyk, Martin Suda, Josef Urban 	 Learning Guided Automated Reasoning: A Brief Survey. 	 2024 	 AR, FM 	 https://doi.org/10.48550/arXiv.2403.04017 	 arXiv CoRR abs/2403.04017 (2024).
Barbora Hudcová, Tomás Mikolov 	 Classification of Complex Systems Based on Transients. 	 2020 	 FAI 	 https://arxiv.org/abs/2008.13503 	 arXiv CoRR abs/2008.13503 (2020).
Hugo Cisneros, Josef Sivic, Tomás Mikolov 	 Evolving Structures in Complex Systems. 	 2019 	 FAI 	 https://doi.org/10.1109/SSCI44817.2019.9002840 	 IEEE Symposium Series on Computational Intelligence, SSCI 2019, Xiamen, China, December 6-9, 2019: 230-237 (2019).
Carl Yang, Do Huy Hoang, Tomás Mikolov, Jiawei Han 	 Place Deduplication with Embeddings. 	 2019 	 FAI 	 https://doi.org/10.1145/3308558.3313456 	 The World Wide Web Conference, WWW 2019, San Francisco, CA, USA, May 13-17, 2019: 3420-3426 (2019).
Carl Yang, Do Huy Hoang, Tomás Mikolov, Jiawei Han 	 Place Deduplication with Embeddings. 	 2019 	 FAI 	 http://arxiv.org/abs/1910.04861 	 arXiv CoRR abs/1910.04861 (2019).
Piotr Bojanowski, Onur Celebi, Tomás Mikolov, Edouard Grave, Armand Joulin 	 Updating Pre-trained Word Vectors and Text Classifiers using Monolingual Alignment. 	 2019 	 FAI 	 http://arxiv.org/abs/1910.06241 	 arXiv CoRR abs/1910.06241 (2019).
Hugo Cisneros, Josef Sivic, Tomás Mikolov 	 Evolving Structures in Complex Systems. 	 2019 	 FAI 	 http://arxiv.org/abs/1911.01086 	 arXiv CoRR abs/1911.01086 (2019).
Douwe Kiela, Edouard Grave, Armand Joulin, Tomás Mikolov 	 Efficient Large-Scale Multi-Modal Classification. 	 2018 	 FAI 	 https://doi.org/10.1609/aaai.v32i1.11945 	 Proceedings of the Thirty-Second AAAI Conference on Artificial Intelligence, (AAAI-18), the 30th innovative Applications of Artificial Intelligence (IAAI-18), and the 8th AAAI Symposium on Educational Advances in Artificial Intelligence (EAAI-18), New Orleans, Louisiana, USA, February 2-7, 2018: 5198-5204 (2018).
Armand Joulin, Piotr Bojanowski, Tomás Mikolov, Hervé Jégou, Edouard Grave 	 Loss in Translation: Learning Bilingual Word Mapping with a Retrieval Criterion. 	 2018 	 FAI 	 https://aclanthology.org/D18-1330/ 	 Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing, Brussels, Belgium, October 31 - November 4, 2018: 2979-2984 (2018).
Edouard Grave, Piotr Bojanowski, Prakhar Gupta, Armand Joulin, Tomás Mikolov 	 Learning Word Vectors for 157 Languages. 	 2018 	 FAI 	 http://www.lrec-conf.org/proceedings/lrec2018/summaries/627.html 	 Proceedings of the Eleventh International Conference on Language Resources and Evaluation, LREC 2018, Miyazaki, Japan, May 7-12, 2018.: (2018).
Tomás Mikolov, Edouard Grave, Piotr Bojanowski, Christian Puhrsch, Armand Joulin 	 Advances in Pre-Training Distributed Word Representations. 	 2018 	 FAI 	 http://www.lrec-conf.org/proceedings/lrec2018/summaries/721.html 	 Proceedings of the Eleventh International Conference on Language Resources and Evaluation, LREC 2018, Miyazaki, Japan, May 7-12, 2018.: (2018).
Douwe Kiela, Edouard Grave, Armand Joulin, Tomás Mikolov 	 Efficient Large-Scale Multi-Modal Classification. 	 2018 	 FAI 	 http://arxiv.org/abs/1802.02892 	 arXiv CoRR abs/1802.02892 (2018).
Edouard Grave, Piotr Bojanowski, Prakhar Gupta, Armand Joulin, Tomás Mikolov 	 Learning Word Vectors for 157 Languages. 	 2018 	 FAI 	 http://arxiv.org/abs/1802.06893 	 arXiv CoRR abs/1802.06893 (2018).
Armand Joulin, Piotr Bojanowski, Tomás Mikolov, Edouard Grave 	 Improving Supervised Bilingual Mapping of Word Embeddings. 	 2018 	 FAI 	 http://arxiv.org/abs/1804.07745 	 arXiv CoRR abs/1804.07745 (2018).
II Alexander G. Ororbia, Tomás Mikolov, David Reitter 	 Learning Simpler Language Models with the Differential State Framework. 	 2017 	 FAI 	 https://www.wikidata.org/entity/Q47908146 	 Neural Comput. 29: (2017).
Piotr Bojanowski, Edouard Grave, Armand Joulin, Tomás Mikolov 	 Enriching Word Vectors with Subword Information. 	 2017 	 FAI 	 https://www.wikidata.org/entity/Q28775150 	 Trans. Assoc. Comput. Linguistics 5: 135-146 (2017).
Armand Joulin, Edouard Grave, Piotr Bojanowski, Maximilian Nickel, Tomás Mikolov 	 Fast Linear Model for Knowledge Graph Embeddings. 	 2017 	 FAI 	  	 6th Workshop on Automated Knowledge Base Construction, AKBC@NIPS 2017, Long Beach, California, USA, December 8, 2017: (2017).
Armand Joulin, Edouard Grave, Piotr Bojanowski, Tomás Mikolov 	 Bag of Tricks for Efficient Text Classification. 	 2017 	 FAI 	 https://aclanthology.org/E17-2068/ 	 Proceedings of the 15th Conference of the European Chapter of the Association for Computational Linguistics, EACL 2017, Valencia, Spain, April 3-7, 2017, Volume 2: Short Papers: 427-431 (2017).
Marco Baroni, Armand Joulin, Allan Jabri, Germán Kruszewski, Angeliki Lazaridou, Klemen Simonic, Tomás Mikolov 	 CommAI: Evaluating the first steps towards a useful general AI. 	 2017 	 FAI 	 https://openreview.net/forum?id=Syh_o0pPx 	 5th International Conference on Learning Representations, ICLR 2017, Toulon, France, April 24-26, 2017, Workshop Track Proceedings: (2017).
Yacine Jernite, Edouard Grave, Armand Joulin, Tomás Mikolov 	 Variable Computation in Recurrent Neural Networks. 	 2017 	 FAI 	 https://openreview.net/forum?id=S1LVSrcge 	 5th International Conference on Learning Representations, ICLR 2017, Toulon, France, April 24-26, 2017, Conference Track Proceedings: (2017).
Marco Baroni, Armand Joulin, Allan Jabri, Germán Kruszewski, Angeliki Lazaridou, Klemen Simonic, Tomás Mikolov 	 CommAI: Evaluating the first steps towards a useful general AI. 	 2017 	 FAI 	 http://arxiv.org/abs/1701.08954 	 arXiv CoRR abs/1701.08954 (2017).
II Alexander G. Ororbia, Tomás Mikolov, David Reitter 	 Learning Simpler Language Models with the Delta Recurrent Neural Network Framework. 	 2017 	 FAI 	 http://arxiv.org/abs/1703.08864 	 arXiv CoRR abs/1703.08864 (2017).
Armand Joulin, Edouard Grave, Piotr Bojanowski, Maximilian Nickel, Tomás Mikolov 	 Fast Linear Model for Knowledge Graph Embeddings. 	 2017 	 FAI 	 http://arxiv.org/abs/1710.10881 	 arXiv CoRR abs/1710.10881 (2017).
Tomás Mikolov, Edouard Grave, Piotr Bojanowski, Christian Puhrsch, Armand Joulin 	 Advances in Pre-Training Distributed Word Representations. 	 2017 	 FAI 	 http://arxiv.org/abs/1712.09405 	 arXiv CoRR abs/1712.09405 (2017).
Tomás Mikolov, Armand Joulin, Marco Baroni 	 A Roadmap Towards Machine Intelligence. 	 2016 	 FAI 	 https://doi.org/10.1007/978-3-319-75477-2_2 	 Computational Linguistics and Intelligent Text Processing - 17th International Conference, CICLing 2016, Konya, Turkey, April 3-9, 2016, Revised Selected Papers, Part I: 29-61 (2016).
Wojciech Zaremba, Tomás Mikolov, Armand Joulin, Rob Fergus 	 Learning Simple Algorithms from Examples. 	 2016 	 FAI 	 http://proceedings.mlr.press/v48/zaremba16.html 	 Proceedings of the 33nd International Conference on Machine Learning, ICML 2016, New York City, NY, USA, June 19-24, 2016: 421-429 (2016).
Jason Weston, Antoine Bordes, Sumit Chopra, Tomás Mikolov 	 Towards AI-Complete Question Answering: A Set of Prerequisite Toy Tasks. 	 2016 	 FAI 	 http://arxiv.org/abs/1502.05698 	 4th International Conference on Learning Representations, ICLR 2016, San Juan, Puerto Rico, May 2-4, 2016, Conference Track Proceedings: (2016).
Armand Joulin, Edouard Grave, Piotr Bojanowski, Tomás Mikolov 	 Bag of Tricks for Efficient Text Classification. 	 2016 	 FAI 	 http://arxiv.org/abs/1607.01759 	 arXiv CoRR abs/1607.01759 (2016).
Piotr Bojanowski, Edouard Grave, Armand Joulin, Tomás Mikolov 	 Enriching Word Vectors with Subword Information. 	 2016 	 FAI 	 http://arxiv.org/abs/1607.04606 	 arXiv CoRR abs/1607.04606 (2016).
Yacine Jernite, Edouard Grave, Armand Joulin, Tomás Mikolov 	 Variable Computation in Recurrent Neural Networks. 	 2016 	 FAI 	 http://arxiv.org/abs/1611.06188 	 arXiv CoRR abs/1611.06188 (2016).
Armand Joulin, Edouard Grave, Piotr Bojanowski, Matthijs Douze, Hervé Jégou, Tomás Mikolov 	 FastText.zip: Compressing text classification models. 	 2016 	 FAI 	 http://arxiv.org/abs/1612.03651 	 arXiv CoRR abs/1612.03651 (2016).
Armand Joulin, Tomás Mikolov 	 Inferring Algorithmic Patterns with Stack-Augmented Recurrent Nets. 	 2015 	 FAI 	 http://papers.nips.cc/paper/5857-inferring-algorithmic-patterns-with-stack-augmented-recurrent-nets 	 Advances in Neural Information Processing Systems 28: Annual Conference on Neural Information Processing Systems 2015, December 7-12, 2015, Montreal, Quebec, Canada: 190-198 (2015).
Grégoire Mesnil, Tomás Mikolov, Marc'Aurelio Ranzato, Yoshua Bengio 	 Ensemble of Generative and Discriminative Techniques for Sentiment Analysis of Movie Reviews. 	 2015 	 FAI 	 http://arxiv.org/abs/1412.5335 	 3rd International Conference on Learning Representations, ICLR 2015, San Diego, CA, USA, May 7-9, 2015, Workshop Track Proceedings: (2015).
Tomás Mikolov, Armand Joulin, Sumit Chopra, Michaël Mathieu, Marc'Aurelio Ranzato 	 Learning Longer Memory in Recurrent Neural Networks. 	 2015 	 FAI 	 http://arxiv.org/abs/1412.7753 	 3rd International Conference on Learning Representations, ICLR 2015, San Diego, CA, USA, May 7-9, 2015, Workshop Track Proceedings: (2015).
Armand Joulin, Tomás Mikolov 	 Inferring Algorithmic Patterns with Stack-Augmented Recurrent Nets. 	 2015 	 FAI 	 http://arxiv.org/abs/1503.01007 	 arXiv CoRR abs/1503.01007 (2015).
Piotr Bojanowski, Armand Joulin, Tomás Mikolov 	 Alternative structures for character-level RNNs. 	 2015 	 FAI 	 http://arxiv.org/abs/1511.06303 	 arXiv CoRR abs/1511.06303 (2015).
Wojciech Zaremba, Tomás Mikolov, Armand Joulin, Rob Fergus 	 Learning Simple Algorithms from Examples. 	 2015 	 FAI 	 http://arxiv.org/abs/1511.07275 	 arXiv CoRR abs/1511.07275 (2015).
Tomás Mikolov, Armand Joulin, Marco Baroni 	 A Roadmap towards Machine Intelligence. 	 2015 	 FAI 	 http://arxiv.org/abs/1511.08130 	 arXiv CoRR abs/1511.08130 (2015).
Tomás Mikolov 	 Using Neural Networks for Modeling and Representing Natural Languages. 	 2014 	 FAI 	 https://aclanthology.org/C14-3002/ 	 COLING 2014, 25th International Conference on Computational Linguistics, Tutorial Abstracts, August 23-29, 2014, Dublin, Ireland: 3-4 (2014).
Quoc V. Le, Tomás Mikolov 	 Distributed Representations of Sentences and Documents. 	 2014 	 FAI 	 http://proceedings.mlr.press/v32/le14.html 	 Proceedings of the 31th International Conference on Machine Learning, ICML 2014, Beijing, China, 21-26 June 2014: 1188-1196 (2014).
Ciprian Chelba, Tomás Mikolov, Mike Schuster, Qi Ge, Thorsten Brants, Phillipp Koehn, Tony Robinson 	 One billion word benchmark for measuring progress in statistical language modeling. 	 2014 	 FAI 	 https://doi.org/10.21437/Interspeech.2014-564 	 15th Annual Conference of the International Speech Communication Association, INTERSPEECH 2014, Singapore, September 14-18, 2014: 2635-2639 (2014).
Mohammad Norouzi, Tomás Mikolov, Samy Bengio, Yoram Singer, Jonathon Shlens, Andrea Frome, Greg Corrado, Jeffrey Dean 	 Zero-Shot Learning by Convex Combination of Semantic Embeddings. 	 2014 	 FAI 	 http://arxiv.org/abs/1312.5650 	 2nd International Conference on Learning Representations, ICLR 2014, Banff, AB, Canada, April 14-16, 2014, Conference Track Proceedings: (2014).
Quoc V. Le, Tomás Mikolov 	 Distributed Representations of Sentences and Documents. 	 2014 	 FAI 	 http://arxiv.org/abs/1405.4053 	 arXiv CoRR abs/1405.4053 (2014).
Anoop Deoras, Tomás Mikolov, Stefan Kombrink, Kenneth Church 	 Approximate inference: A sampling based modeling technique to capture complex dependencies in a language model. 	 2013 	 FAI 	 https://doi.org/10.1016/j.specom.2012.08.004 	 Speech Commun. 55: 162-177 (2013).
Razvan Pascanu, Tomás Mikolov, Yoshua Bengio 	 On the difficulty of training recurrent neural networks. 	 2013 	 FAI 	 http://proceedings.mlr.press/v28/pascanu13.html 	 Proceedings of the 30th International Conference on Machine Learning, ICML 2013, Atlanta, GA, USA, 16-21 June 2013: 1310-1318 (2013).
Tomás Mikolov, Wen-tau Yih, Geoffrey Zweig 	 Linguistic Regularities in Continuous Space Word Representations. 	 2013 	 FAI 	 https://aclanthology.org/N13-1090/ 	 Human Language Technologies: Conference of the North American Chapter of the Association of Computational Linguistics, Proceedings, June 9-14, 2013, Westin Peachtree Plaza Hotel, Atlanta, Georgia, USA: 746-751 (2013).
Alisa Zhila, Wen-tau Yih, Christopher Meek, Geoffrey Zweig, Tomás Mikolov 	 Combining Heterogeneous Models for Measuring Relational Similarity. 	 2013 	 FAI 	 https://aclanthology.org/N13-1120/ 	 Human Language Technologies: Conference of the North American Chapter of the Association of Computational Linguistics, Proceedings, June 9-14, 2013, Westin Peachtree Plaza Hotel, Atlanta, Georgia, USA: 1000-1009 (2013).
Andrea Frome, Gregory S. Corrado, Jonathon Shlens, Samy Bengio, Jeffrey Dean, Marc'Aurelio Ranzato, Tomás Mikolov 	 DeViSE: A Deep Visual-Semantic Embedding Model. 	 2013 	 FAI 	 http://papers.nips.cc/paper/5204-devise-a-deep-visual-semantic-embedding-model 	 Advances in Neural Information Processing Systems 26: 27th Annual Conference on Neural Information Processing Systems 2013. Proceedings of a meeting held December 5-8, 2013, Lake Tahoe, Nevada, United States.: 2121-2129 (2013).
Tomás Mikolov, Ilya Sutskever, Kai Chen, Gregory S. Corrado, Jeffrey Dean 	 Distributed Representations of Words and Phrases and their Compositionality. 	 2013 	 FAI 	 http://papers.nips.cc/paper/5021-distributed-representations-of-words-and-phrases-and-their-compositionality 	 Advances in Neural Information Processing Systems 26: 27th Annual Conference on Neural Information Processing Systems 2013. Proceedings of a meeting held December 5-8, 2013, Lake Tahoe, Nevada, United States.: 3111-3119 (2013).
Tomás Mikolov, Kai Chen, Greg Corrado, Jeffrey Dean 	 Efficient Estimation of Word Representations in Vector Space 	 2013 	 FAI 	 http://arxiv.org/abs/1301.3781 	 1st International Conference on Learning Representations, ICLR 2013, Scottsdale, Arizona, USA, May 2-4, 2013, Workshop Track Proceedings: (2013).
Tomás Mikolov, Quoc V. Le, Ilya Sutskever 	 Exploiting Similarities among Languages for Machine Translation. 	 2013 	 FAI 	 http://arxiv.org/abs/1309.4168 	 arXiv CoRR abs/1309.4168 (2013).
Tomás Mikolov, Ilya Sutskever, Kai Chen, Greg Corrado, Jeffrey Dean 	 Distributed Representations of Words and Phrases and their Compositionality. 	 2013 	 FAI 	 http://arxiv.org/abs/1310.4546 	 arXiv CoRR abs/1310.4546 (2013).
Ciprian Chelba, Tomás Mikolov, Mike Schuster, Qi Ge, Thorsten Brants, Phillipp Koehn 	 One Billion Word Benchmark for Measuring Progress in Statistical Language Modeling. 	 2013 	 FAI 	 http://arxiv.org/abs/1312.3005 	 arXiv CoRR abs/1312.3005 (2013).
Stefan Kombrink, Tomás Mikolov, Martin Karafiát, Lukás Burget 	 Improving language models for ASR using translated in-domain data. 	 2012 	 FAI 	 https://doi.org/10.1109/ICASSP.2012.6288896 	 2012 IEEE International Conference on Acoustics, Speech and Signal Processing, ICASSP 2012, Kyoto, Japan, March 25-30, 2012: 4405-4408 (2012).
Tomás Mikolov, Geoffrey Zweig 	 Context dependent recurrent neural network language model. 	 2012 	 FAI 	 https://doi.org/10.1109/SLT.2012.6424228 	 2012 IEEE Spoken Language Technology Workshop (SLT), Miami, FL, USA, December 2-5, 2012: 234-239 (2012).
Razvan Pascanu, Tomás Mikolov, Yoshua Bengio 	 Understanding the exploding gradient problem 	 2012 	 FAI 	 http://arxiv.org/abs/1211.5063 	 arXiv CoRR abs/1211.5063 (2012).
Tomás Mikolov, Anoop Deoras, Daniel Povey, Lukás Burget, Jan Cernocký 	 Strategies for training large scale neural network language models. 	 2011 	 FAI 	 https://doi.org/10.1109/ASRU.2011.6163930 	 2011 IEEE Workshop on Automatic Speech Recognition & Understanding, ASRU 2011, Waikoloa, HI, USA, December 11-15, 2011: 196-201 (2011).
Anoop Deoras, Tomás Mikolov, Kenneth Church 	 A Fast Re-scoring Strategy to Capture Long-Distance Dependencies. 	 2011 	 FAI 	 https://aclanthology.org/D11-1103/ 	 Proceedings of the 2011 Conference on Empirical Methods in Natural Language Processing, EMNLP 2011, 27-31 July 2011, John McIntyre Conference Centre, Edinburgh, UK, A meeting of SIGDAT, a Special Interest Group of the ACL: 1116-1127 (2011).
Tomás Mikolov, Stefan Kombrink, Lukás Burget, Jan Cernocký, Sanjeev Khudanpur 	 Extensions of recurrent neural network language model. 	 2011 	 FAI 	 https://doi.org/10.1109/ICASSP.2011.5947611 	 Proceedings of the IEEE International Conference on Acoustics, Speech, and Signal Processing, ICASSP 2011, May 22-27, 2011, Prague Congress Center, Prague, Czech Republic: 5528-5531 (2011).
Anoop Deoras, Tomás Mikolov, Stefan Kombrink, Martin Karafiát, Sanjeev Khudanpur 	 Variational approximation of long-span language models for lvcsr. 	 2011 	 FAI 	 https://doi.org/10.1109/ICASSP.2011.5947612 	 Proceedings of the IEEE International Conference on Acoustics, Speech, and Signal Processing, ICASSP 2011, May 22-27, 2011, Prague Congress Center, Prague, Czech Republic: 5532-5535 (2011).
Tomás Mikolov, Anoop Deoras, Stefan Kombrink, Lukás Burget, Jan Cernocký 	 Empirical Evaluation and Combination of Advanced Language Modeling Techniques. 	 2011 	 FAI 	 https://doi.org/10.21437/Interspeech.2011-242 	 12th Annual Conference of the International Speech Communication Association, INTERSPEECH 2011, Florence, Italy, August 27-31, 2011: 605-608 (2011).
Stefan Kombrink, Tomás Mikolov, Martin Karafiát, Lukás Burget 	 Recurrent Neural Network Based Language Modeling in Meeting Recognition. 	 2011 	 FAI 	 https://doi.org/10.21437/Interspeech.2011-720 	 12th Annual Conference of the International Speech Communication Association, INTERSPEECH 2011, Florence, Italy, August 27-31, 2011: 2877-2880 (2011).
Tomás Mikolov, Martin Karafiát, Lukás Burget, Jan Cernocký, Sanjeev Khudanpur 	 Recurrent neural network based language model. 	 2010 	 FAI 	 https://doi.org/10.21437/Interspeech.2010-343 	 11th Annual Conference of the International Speech Communication Association, INTERSPEECH 2010, Makuhari, Chiba, Japan, September 26-30, 2010: 1045-1048 (2010).
Zdenek Jancik, Oldrich Plchot, Niko Brümmer, Lukás Burget, Ondrej Glembek, Valiantsina Hubeika, Martin Karafiát, Pavel Matejka, Tomás Mikolov, Albert Strasheim, Jan Cernocký 	 Data selection and calibration issues in automatic language recognition - investigation with BUT-AGNITIO NIST LRE 2009 system. 	 2010 	 FAI 	 http://www.isca-speech.org/archive_open/odyssey_2010/od10_037.html 	 Odyssey 2010: The Speaker and Language Recognition Workshop, Brno, Czech Republic, June 28 - July 1, 2010: (2010).
Tomás Mikolov, Oldrich Plchot, Ondrej Glembek, Lukás Burget, Jan Cernocký 	 PCA-based Feature Extraction for Phonotactic Language Recognition. 	 2010 	 FAI 	 http://www.isca-speech.org/archive_open/odyssey_2010/od10_042.html 	 Odyssey 2010: The Speaker and Language Recognition Workshop, Brno, Czech Republic, June 28 - July 1, 2010: (2010).
Tomás Mikolov, Jirí Kopecký, Lukás Burget, Ondrej Glembek, Jan Cernocký 	 Neural network based language models for highly inflective languages. 	 2009 	 FAI 	 https://doi.ieeecomputersociety.org/10.1109/ICASSP.2009.4960686 	 Proceedings of the IEEE International Conference on Acoustics, Speech, and Signal Processing, ICASSP 2009, 19-24 April 2009, Taipei, Taiwan: 4725-4728 (2009).
Pavel Matejka, Lukás Burget, Ondrej Glembek, Petr Schwarz, Valiantsina Hubeika, Michal Fapso, Tomás Mikolov, Oldrich Plchot, Jan Cernocký 	 BUT language recognition system for NIST 2007 evaluations. 	 2008 	 FAI 	 https://doi.org/10.21437/Interspeech.2008-230 	 9th Annual Conference of the International Speech Communication Association, INTERSPEECH 2008, Brisbane, Australia, September 22-26, 2008: 739-742 (2008).
Ondrej Glembek, Pavel Matejka, Lukás Burget, Tomás Mikolov 	 Advances in phonotactic language recognition. 	 2008 	 FAI 	 https://doi.org/10.21437/Interspeech.2008-231 	 9th Annual Conference of the International Speech Communication Association, INTERSPEECH 2008, Brisbane, Australia, September 22-26, 2008: 743-746 (2008).
Martin Vastl, Jonas Kulhanek, Jirí Kubalík, Erik Derner, Robert Babuska 	 SymFormer: End-to-End Symbolic Regression Using Transformer-Based Architecture. 	 2024 	 ML 	 https://doi.org/10.1109/ACCESS.2024.3374649 	 IEEE Access 12: 37840-37849 (2024).
Jirí Kubalík, Erik Derner, Robert Babuska 	 Toward Physically Plausible Data-Driven Models: A Novel Neural Network Approach to Symbolic Regression. 	 2023 	 ML 	 https://doi.org/10.1109/ACCESS.2023.3287397 	 IEEE Access 11: 61481-61501 (2023).
Jirí Sedlár, Karla Stépánová, Radoslav Skoviera, Jan Kristof Behrens, Matús Tuna, Gabriela Sejnova, Josef Sivic, Robert Babuska 	 Imitrob: Imitation Learning Dataset for Training and Evaluating 6D Object Pose Estimators. 	 2023 	 ML 	 https://doi.org/10.1109/LRA.2023.3259735 	 IEEE Robotics Autom. Lett. 8: 2788-2795 (2023/05).
Jirí Kubalík, Erik Derner, Robert Babuska 	 Neural Networks for Symbolic Regression. 	 2023 	 ML 	 https://doi.org/10.48550/arXiv.2302.00773 	 arXiv CoRR abs/2302.00773 (2023).
Luuk van den Bent, Tomás Coleman, Robert Babuska 	 A Vision-Guided Robotic System for Grasping Harvested Tomato Trusses in Cluttered Environments. 	 2023 	 ML 	 https://doi.org/10.48550/arXiv.2309.17170 	 arXiv CoRR abs/2309.17170 (2023).
Erik Derner, Kristina Batistic, Jan Zahálka, Robert Babuska 	 A Security Risk Taxonomy for Large Language Models. 	 2023 	 ML 	 https://doi.org/10.48550/arXiv.2311.11415 	 arXiv CoRR abs/2311.11415 (2023).
Padmaja Kulkarni, Jens Kober, Robert Babuska, Cosimo Della Santina 	 Learning Assembly Tasks in a Few Minutes by Combining Impedance Control and Residual Recurrent Reinforcement Learning. 	 2022 	 ML 	 https://doi.org/10.1002/aisy.202100095 	 Adv. Intell. Syst. 4: (2022).
Libor Preucil, Robert Babuska 	 IROS 2021 Online in Prague [Society News]. 	 2022 	 ML 	 https://doi.org/10.1109/MRA.2022.3143189 	 IEEE Robotics Autom. Mag. 29: 108-111 (2022).
Jonas Kulhanek, Erik Derner, Torsten Sattler, Robert Babuska 	 ViewFormer: NeRF-Free Neural Rendering from Few Images Using Transformers. 	 2022 	 ML 	 https://doi.org/10.1007/978-3-031-19784-0_12 	 Computer Vision - ECCV 2022 - 17th European Conference, Tel Aviv, Israel, October 23-27, 2022, Proceedings, Part XV: 198-216 (2022).
Max Lodel, Bruno Brito, Álvaro Serra-Gómez, Laura Ferranti, Robert Babuska, Javier Alonso-Mora 	 Where to Look Next: Learning Viewpoint Recommendations for Informative Trajectory Planning. 	 2022 	 ML 	 https://doi.org/10.1109/ICRA46639.2022.9812190 	 2022 International Conference on Robotics and Automation, ICRA 2022, Philadelphia, PA, USA, May 23-27, 2022: 4466-4472 (2022).
Nikolaos Passalis, S. Pedrazzi, Robert Babuska, Wolfram Burgard, D. Dias, F. Ferro, Moncef Gabbouj, O. Green, Alexandros Iosifidis, E. Kayacan, Jens Kober, O. Michel, Nikos Nikolaidis, Paraskevi Nousi, Roel Pieters, Maria Tzelepi, Abhinav Valada, Anastasios Tefas 	 OpenDR: An Open Toolkit for Enabling High Performance, Low Footprint Deep Learning for Robotics. 	 2022 	 ML 	 https://doi.org/10.1109/IROS47612.2022.9981703 	 IEEE/RSJ International Conference on Intelligent Robots and Systems, IROS 2022, Kyoto, Japan, October 23-27, 2022: 12479-12484 (2022).
Nikolaos Passalis, S. Pedrazzi, Robert Babuska, Wolfram Burgard, D. Dias, F. Ferro, Moncef Gabbouj, O. Green, Alexandros Iosifidis, E. Kayacan, Jens Kober, O. Michel, Nikolaos Nikolaidis, Paraskevi Nousi, Roel Pieters, Maria Tzelepi, Abhinav Valada, Anastasios Tefas 	 OpenDR: An Open Toolkit for Enabling High Performance, Low Footprint Deep Learning for Robotics. 	 2022 	 ML 	 https://doi.org/10.48550/arXiv.2203.00403 	 arXiv CoRR abs/2203.00403 (2022).
Max Lodel, Bruno Brito, Álvaro Serra-Gómez, Laura Ferranti, Robert Babuska, Javier Alonso-Mora 	 Where to Look Next: Learning Viewpoint Recommendations for Informative Trajectory Planning. 	 2022 	 ML 	 https://doi.org/10.48550/arXiv.2203.02381 	 arXiv CoRR abs/2203.02381 (2022).
Jonas Kulhanek, Erik Derner, Torsten Sattler, Robert Babuska 	 ViewFormer: NeRF-free Neural Rendering from Few Images Using Transformers. 	 2022 	 ML 	 https://doi.org/10.48550/arXiv.2203.10157 	 arXiv CoRR abs/2203.10157 (2022).
Martin Vastl, Jonas Kulhanek, Jirí Kubalík, Erik Derner, Robert Babuska 	 SymFormer: End-to-end symbolic regression using transformer-based architecture. 	 2022 	 ML 	 https://doi.org/10.48550/arXiv.2205.15764 	 arXiv CoRR abs/2205.15764 (2022).
Jirí Sedlár, Karla Stépánová, Matús Tuna, Radoslav Skoviera, Jan Kristof Behrens, Gabriela Sejnova, Josef Sivic, Robert Babuska 	 Imitrob: Imitation Learning Dataset for Training and Evaluating 6D Object Pose Estimators. 	 2022 	 ML 	 https://doi.org/10.48550/arXiv.2209.07976 	 arXiv CoRR abs/2209.07976 (2022).
Erik Derner, Jirí Kubalík, Robert Babuska 	 Selecting Informative Data Samples for Model Learning Through Symbolic Regression. 	 2021 	 ML 	 https://doi.org/10.1109/ACCESS.2021.3052130 	 IEEE Access 9: 14148-14158 (2021).
Jirí Kubalík, Erik Derner, Jan Zegklitz, Robert Babuska 	 Symbolic Regression Methods for Reinforcement Learning. 	 2021 	 ML 	 https://doi.org/10.1109/ACCESS.2021.3119000 	 IEEE Access 9: 139697-139711 (2021).
Martin Brablc, Jan Zegklitz, Robert Grepl, Robert Babuska 	 Control of Magnetic Manipulator Using Reinforcement Learning Based on Incrementally Adapted Local Linear Models. 	 2021 	 ML 	 https://doi.org/10.1155/2021/6617309 	 Complex. 2021: 6617309:1-6617309:12 (2021).
Jirí Kubalík, Erik Derner, Robert Babuska 	 Multi-objective symbolic regression for physics-aware dynamic modeling. 	 2021 	 ML 	 https://doi.org/10.1016/j.eswa.2021.115210 	 Expert Syst. Appl. 182: (2021).
Jonas Kulhanek, Erik Derner, Robert Babuska 	 Visual Navigation in Real-World Indoor Environments Using End-to-End Deep Reinforcement Learning. 	 2021 	 ML 	 https://doi.org/10.1109/LRA.2021.3068106 	 IEEE Robotics Autom. Lett. 6: 4345-4352 (2021).
Osama Mazhar, Robert Babuska, Jens Kober 	 GEM: Glare or Gloom, I Can Still See You - End-to-End Multi-Modal Object Detection. 	 2021 	 ML 	 https://doi.org/10.1109/LRA.2021.3093871 	 IEEE Robotics Autom. Lett. 6: 6321-6328 (2021).
Erik Derner, Clara Gómez, Alejandra C. Hernández, Ramón Barber, Robert Babuska 	 Change detection using weighted features for image-based localization. 	 2021 	 ML 	 https://doi.org/10.1016/j.robot.2020.103676 	 Robotics Auton. Syst. 135: (2021).
